,id,mode,TASK_STARTED_LOAD,TASKS_LIST_LOAD,TASK_SUBMITED_LOAD,FINISHED_TASK_LOAD,BELL_CLICK,SETT_CLICK,SETT_SAVE,MSG_RCV_WORKER,MSG_CLICK_WORKER,MSG_RCV_REQUESTER,MSG_CLICK_REQUESTER,LIST_NEW,LIST_RECOM,LIST_PAY,TASK_HIDE_ON,TASK_HIDE_OFF,tasks_count,wage_sum,wage_max,Unnamed: 0_x,all_tasks_count,all_rewards,TASKS_LIST,MESSAGES_READ,TASK_INFO,TASK_TIMEOUT,TASK_SUBMITED,WORKER_EARNINGS,WORKER_EARNINGS_DETAILS,WORKER_DASHBOARD,WORKER_QUALIFICATIONS,TASK_QUEUE,MESSAGES_NOTIFICATION
26,95d3785df122a99679fdd8cb4d6e4a0,ACTIVE,3,29,10,0,32,0,0,56,0,0,0,1,1,2,0,0,122,0,0,0,0,0,22,4,0,0,0,1,0,0,0,0,0
27,95d3785df122a99679fdd8cb4d6e4a0,PASSIVE,26.5,18,25.5,0,10,0,0,0,0,0,0,0,0,0,0,0,9,0,0,1,18,0.52,0,0,0,0,0,0,0,0,0,0,0
28,32ae306c14a39c07f685ea94adf6475,ACTIVE,0,46,0,0,33,0,0,328,0,0,0,0,0,0,0,0,0,0,0,0,0,0,32,2,3,0,0,0,0,0,0,0,0
29,32ae306c14a39c07f685ea94adf6475,PASSIVE,5.5,23.5,8.5,0,14.5,0,0,0,0,0,0,0,0,0,0,0,162.5,0,0,1,7,0.07,16.5,0,2.5,0,0,0.5,1,0.5,0.5,0.5,0
30,69c0d3e67052b28759e150bca54f5f0,ACTIVE,0,14.5,0,0,10.5,0,0,105.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
31,69c0d3e67052b28759e150bca54f5f0,PASSIVE,0.25,8.25,0,0,4.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0.25,0.015,0,0,0,0,0,0,0,0,0,0,0
32,c8136de0d23979b64c985c7c1abb6c,ACTIVE,111,89,189,0,35,0,0,2415,0,0,0,0,1,0,0,0,537,0.15,0.05,0,15,0.29,131,0,1,2,22,0,48,2,0,0,0
33,c8136de0d23979b64c985c7c1abb6c,PASSIVE,71,53.5,156.5,0,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,6,0.27,0,0,0,0.5,0,0,0,0,0,0,0
34,5fc991717e944f5142979e8878555271,ACTIVE,539,651,1240,0,224,0,0,0,0,2535,8,99,16,14,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
35,5fc991717e944f5142979e8878555271,PASSIVE,121.5,569.5,355.5,0,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
